"genres","href","id","image_height","image_url","image_width","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","genre","max_height"
"c(""classical tenor"", ""italian tenor"", ""operatic pop"")","https://api.spotify.com/v1/artists/3EA9hVIzKfFiQI0Kikz2wo","3EA9hVIzKfFiQI0Kikz2wo",640,"https://i.scdn.co/image/ab6761610000e5eb9855fec05d30c66590e60f7a",640,"Andrea Bocelli",72,"artist","spotify:artist:3EA9hVIzKfFiQI0Kikz2wo","https://open.spotify.com/artist/3EA9hVIzKfFiQI0Kikz2wo",NA,2336098,"Pop",640
"c(""contemporary r&b"", ""dance pop"", ""hip hop"", ""hip pop"", ""neo soul"", ""r&b"", ""urban contemporary"")","https://api.spotify.com/v1/artists/05oH07COxkXKIMt6mIPRee","05oH07COxkXKIMt6mIPRee",640,"https://i.scdn.co/image/ab6761610000e5eb8df2c46be545c0a78748d6b4",640,"Brandy",66,"artist","spotify:artist:05oH07COxkXKIMt6mIPRee","https://open.spotify.com/artist/05oH07COxkXKIMt6mIPRee",NA,3088907,"Pop",640
"c(""electropop"", ""indie pop"", ""indie poptimism"", ""modern rock"", ""nyc pop"", ""pop"", ""pop rock"")","https://api.spotify.com/v1/artists/5ivCbtrcD5N4rD337xIb2z","5ivCbtrcD5N4rD337xIb2z",640,"https://i.scdn.co/image/ab6761610000e5eb918004e5b48f36bed39f6d1c",640,"MisterWives",61,"artist","spotify:artist:5ivCbtrcD5N4rD337xIb2z","https://open.spotify.com/artist/5ivCbtrcD5N4rD337xIb2z",NA,425018,"Pop",640
"c(""neon pop punk"", ""pop emo"", ""pop punk"", ""rock"")","https://api.spotify.com/v1/artists/3WfJ1OtrWI7RViX9DMyEGy","3WfJ1OtrWI7RViX9DMyEGy",640,"https://i.scdn.co/image/ab6761610000e5ebe53fe9623f0a46ddf55dd8a6",640,"Mayday Parade",62,"artist","spotify:artist:3WfJ1OtrWI7RViX9DMyEGy","https://open.spotify.com/artist/3WfJ1OtrWI7RViX9DMyEGy",NA,1322933,"Pop",640
"c(""battle rap"", ""east coast hip hop"", ""gangster rap"", ""hardcore hip hop"", ""hip hop"", ""hip pop"", ""pop rap"", ""rap"", ""trap"")","https://api.spotify.com/v1/artists/5pnbUBPifNnlusY8kTBivi","5pnbUBPifNnlusY8kTBivi",640,"https://i.scdn.co/image/ab6761610000e5ebd8dba5c02f8c75eb280dd70e",640,"Jadakiss",66,"artist","spotify:artist:5pnbUBPifNnlusY8kTBivi","https://open.spotify.com/artist/5pnbUBPifNnlusY8kTBivi",NA,1031337,"Pop",640
"c(""indie pop rap"", ""pop rap"")","https://api.spotify.com/v1/artists/382aq8Pij5V2nE2JMHMoxl","382aq8Pij5V2nE2JMHMoxl",640,"https://i.scdn.co/image/ab6761610000e5eb41556e7443cc863bfb79ba81",640,"Hoodie Allen",62,"artist","spotify:artist:382aq8Pij5V2nE2JMHMoxl","https://open.spotify.com/artist/382aq8Pij5V2nE2JMHMoxl",NA,699184,"Pop",640
"c(""ann arbor indie"", ""indie pop"", ""pixel"")","https://api.spotify.com/v1/artists/7lqaPghwYv2mE9baz5XQmL","7lqaPghwYv2mE9baz5XQmL",640,"https://i.scdn.co/image/ab6761610000e5eb54e0aeaa154c233cbc92403a",640,"Tally Hall",64,"artist","spotify:artist:7lqaPghwYv2mE9baz5XQmL","https://open.spotify.com/artist/7lqaPghwYv2mE9baz5XQmL",NA,487713,"Pop",640
"c(""alt z"", ""canadian pop"", ""electropop"", ""pop"", ""post-teen pop"")","https://api.spotify.com/v1/artists/1cZQSpDsxgKIX2yW5OR9Ot","1cZQSpDsxgKIX2yW5OR9Ot",640,"https://i.scdn.co/image/ab6761610000e5ebd28e3bcc85f25f2814aa3830",640,"Lennon Stella",67,"artist","spotify:artist:1cZQSpDsxgKIX2yW5OR9Ot","https://open.spotify.com/artist/1cZQSpDsxgKIX2yW5OR9Ot",NA,358067,"Pop",640
"ukrainian viral pop","https://api.spotify.com/v1/artists/5ja9cfKWW8Zj9aloyK8WuY","5ja9cfKWW8Zj9aloyK8WuY",640,"https://i.scdn.co/image/ab6761610000e5eb28deaf7c685264c018a6a5d9",640,"MoonDeity",72,"artist","spotify:artist:5ja9cfKWW8Zj9aloyK8WuY","https://open.spotify.com/artist/5ja9cfKWW8Zj9aloyK8WuY",NA,148802,"Pop",640
"c(""art pop"", ""indie pop"")","https://api.spotify.com/v1/artists/6Rx1JKzBrSzoKQtmbVmBnM","6Rx1JKzBrSzoKQtmbVmBnM",640,"https://i.scdn.co/image/ab6761610000e5ebca3aa12c1b46ff911ad53104",640,"Hayley Williams",66,"artist","spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","https://open.spotify.com/artist/6Rx1JKzBrSzoKQtmbVmBnM",NA,592637,"Pop",640
